"styrk08_code","occupation_label_no","employees_2025q4","fte_2025q1","fte_2025q2","fte_2025q3","fte_2025q4","annual_fte_proxy_2025","annual_fte_status","workforce_source_id","occupation_factor_low","occupation_factor_base","occupation_factor_high","factor_status","factor_source_id","potential_basis","rationale"
"3521","Teknikere innen radio og tv","1490","1329","1264","1244","1312","1287.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"3522","Teknikere innen telekom","1304","1234","1221","1182","1179","1204","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"4110","Kontormedarbeidere","54938","47418","46885","47855","46542","47175","derived_quarterly_mean","ssb-11658-occupation-workforce-2025","0.25","0.45","0.65","assumption","occupation-factor-assumptions-v0","document_intensive","Frequent structured document tasks but assumed less compute-intensive use than developer agents"
"4131","Stenografer mv.","19","13","14","14","15","14","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"4132","Dataregistrere","620","526","587","598","570","570.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"4211","Kundebehandlere, bank og postkontor","787","628","587","647","651","628.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"4212","Bingoverter, bookmakere mv.","482","387","388","389","328","373","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"4213","Pantelånere mv.","0",,,,,,"unknown","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"4214","Inkassomedarbeidere mv.","1355","1244","1190","1206","1217","1214.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"4221","Reisebyråmedarbeidere mv.","4510","3784","3898","4233","3874","3947.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"4222","Kundesentermedarbeidere","5431","4746","4828","4998","4884","4864","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"4223","Sentralbordoperatører","716","620","604","612","585","605.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"4224","Hotellresepsjonister","9029","6333","6883","9808","6367","7347.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"4225","Informasjonsskrankemedarbeidere","450","370","371","403","370","378.5","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"4226","Resepsjonister (ekskl. hotell)","8073","6003","6024","6222","6041","6072.5","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"4227","Intervjuere","644","208","196","200","255","214.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"4229","Andre opplysningsmedarbeidere","874","599","590","601","670","615","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"4311","Regnskapsmedarbeidere","15717","15069","14140","13916","14218","14335.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025","0.25","0.45","0.65","assumption","occupation-factor-assumptions-v0","document_intensive","Structured records and reconciliation with high automation potential but uncertain inference intensity"
"4312","Forsikrings- og finansmedarbeidere","346","322","318","321","318","319.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"4313","Lønningsmedarbeidere","2139","2055","2043","2056","2058","2053","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"4321","Lagermedarbeidere og material-forvaltere","37855","31858","32207","34179","33051","32823.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"4322","Logistikkmedarbeidere","11408","10388","10670","11005","10940","10750.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"4323","Transportfunksjonærer","7219","6472","6353","6532","6695","6513","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"4411","Bibliotekassistenter","324","129","131","128","128","129","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"4412","Postbud og postsorterere","3245","2667",,,"2660",,"unknown","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"4413","Kodere mv.","3",,,,,,"unknown","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"4415","Arkivassistenter","974","814","810","801","787","803","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"4416","Personalkontormedarbeidere","858","773","775","810","795","788.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"5111","Flyverter, båtverter mv.","2720","2566","2572","2595","2423","2539","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"5112","Konduktører","1390","1318","1328","1398","1322","1341.5","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"5113","Reiseledere og guider","2130","1501","1392","2875","1323","1772.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"5120","Kokker","23462","19083","19588","20488","19990","19787.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"5131","Servitører","24470","14456","15191","18382","15011","15760","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"5132","Bartendere","6975","3758","3911","4143","3919","3932.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"5141","Frisører","8898","7686","7615","7565","7633","7624.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"5142","Kosmetologer mv.","3038","2242","2254","2334","2329","2289.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"5151","Renholdsledere i bedrifter","2357","2200","2210","2240","2186","2209","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"5152","Husholdere","215","179","192","207","171","187.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"5153","Vaktmestre","22641","18348","18809","20538","18633","19082","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"5161","Astrologer mv.","0",,,,,,"unknown","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"5163","Begravelsesbyrå- og krematoriearbeidere","1016","770","771","852","809","800.5","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"5164","Dyrepassere og - trenere mv.","1133","703","719","868","786","769","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"5165","Kjøreskolelærere","2055","1739","1875","1919","1965","1874.5","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
